A,Element,Z,Mass,Source
76,Cu,29,75.945275025,measured
76,Zn,30,75.933114957,measured
76,Ga,31,75.928827625,measured
76,Ge,32,75.92140272600001,measured
76,As,33,75.92239201000001,measured
76,Se,34,75.919213704,measured
76,Br,35,75.92454157699999,measured
76,Kr,36,75.92591072600001,measured
76,Rb,37,75.935073032,measured
76,Sr,38,75.941762761,measured
76,Y,39,75.95869,estimated
77,Co,27,76.97744,estimated
77,Ni,28,76.960494,estimated
77,Cu,29,76.9478,estimated
77,Zn,30,76.936887199,measured
77,Ga,31,76.9291543,measured
77,Ge,32,76.923549844,measured
77,As,33,76.92064756399999,measured
77,Se,34,76.91991415000001,measured
77,Br,35,76.921379194,measured
77,Kr,36,76.92467,measured
77,Rb,37,76.9304016,measured
77,Sr,38,76.937945455,measured
77,Y,39,76.950146,estimated
77,Zr,40,76.965604,estimated
78,Ni,28,77.963618,estimated
78,Cu,29,77.95223,measured
78,Zn,30,77.938289205,measured
78,Ga,31,77.931608845,measured
78,Ge,32,77.922852912,measured
78,As,33,77.921827795,measured
78,Se,34,77.917309243,measured
78,Br,35,77.92114585899999,measured
78,Kr,36,77.920366341,measured
78,Rb,37,77.928141868,measured
78,Sr,38,77.93217998,measured
78,Y,39,77.94399,estimated
78,Zr,40,77.956146,estimated
79,Ni,28,78.970402,estimated
79,Cu,29,78.95519,estimated
79,Zn,30,78.94263806800001,measured
79,Ga,31,78.932852301,measured
79,Ge,32,78.925360129,measured
79,As,33,78.920948445,measured
79,Se,34,78.918499251,measured
79,Br,35,78.918337601,measured
79,Kr,36,78.92008294499999,measured
79,Rb,37,78.92398986399999,measured
79,Sr,38,78.92970766399999,measured
79,Y,39,78.93793,measured
79,Zr,40,78.94979,estimated
79,Nb,41,78.966022,estimated
80,Ni,28,79.975706,estimated
80,Cu,29,79.961138,estimated
80,Zn,30,79.94455293,measured
80,Ga,31,79.93642077399998,measured
80,Ge,32,79.925350774,measured
80,As,33,79.92247454800001,measured
80,Se,34,79.916521785,measured
80,Br,35,79.91852981,measured
80,Kr,36,79.91637804800001,measured
80,Rb,37,79.922516444,measured
80,Sr,38,79.92451754000001,measured
80,Y,39,79.934354755,measured
80,Zr,40,79.941642,estimated
80,Nb,41,79.958754,estimated
81,Cu,29,80.966269,estimated
81,Zn,30,80.950402619,measured
81,Ga,31,80.938133842,measured
81,Ge,32,80.928832942,measured
81,As,33,80.92213229000001,measured
81,Se,34,80.917993044,measured
81,Br,35,80.916288206,measured
81,Kr,36,80.916589714,measured
81,Rb,37,80.918993927,measured
81,Sr,38,80.92321139399999,measured
81,Y,39,80.92945428300001,measured
81,Zr,40,80.938314,measured
81,Nb,41,80.95023,estimated
81,Mo,42,80.965915,estimated
82,Cu,29,81.972818,estimated
82,Zn,30,81.954574099,measured
82,Ga,31,81.94317653300001,measured
82,Ge,32,81.929774033,measured
82,As,33,81.924738733,measured
82,Se,34,81.916699537,measured
82,Br,35,81.91680176,measured
82,Kr,36,81.9134811552,measured
82,Rb,37,81.91820902399999,measured
82,Sr,38,81.918399847,measured
82,Y,39,81.92693018800001,measured
82,Zr,40,81.931689,measured
82,Nb,41,81.944079,estimated
82,Mo,42,81.956661,estimated
83,Zn,30,82.961041,estimated
83,Ga,31,82.947120301,measured
83,Ge,32,82.93453910100001,measured
83,As,33,82.92520690100001,measured
83,Se,34,82.919118609,measured
83,Br,35,82.91517528899999,measured
83,Kr,36,82.914126518,measured
83,Rb,37,82.915114182,measured
83,Sr,38,82.91755437399999,measured
83,Y,39,82.922484025,measured
83,Zr,40,82.929240925,measured
83,Nb,41,82.938211,measured
83,Mo,42,82.950252,estimated
83,Tc,43,82.966377,estimated
84,Zn,30,83.965722,estimated
84,Ga,31,83.95267,estimated
84,Ge,32,83.937575091,measured
84,As,33,83.92930329100001,measured
84,Se,34,83.918466762,measured
84,Br,35,83.916496419,measured
84,Kr,36,83.91149772863001,measured
84,Rb,37,83.914375225,measured
84,Sr,38,83.91341912,measured
84,Y,39,83.92067106100001,measured
84,Zr,40,83.923325662,measured
84,Nb,41,83.934279,measured
84,Mo,42,83.941846,estimated
84,Tc,43,83.959527,estimated
85,Zn,30,84.972914,estimated
85,Ga,31,84.95722,estimated
85,Ge,32,84.942969659,measured
85,As,33,84.932163659,measured
85,Se,34,84.922260759,measured
85,Br,35,84.915645759,measured
85,Kr,36,84.912527262,measured
85,Rb,37,84.9117897376,measured
85,Sr,38,84.912932043,measured
85,Y,39,84.91643303899998,measured
85,Zr,40,84.921443198,measured
85,Nb,41,84.928845837,measured
85,Mo,42,84.93826073700001,measured
85,Tc,43,84.950778,estimated
85,Ru,44,84.966774,estimated
86,Ga,31,85.963414,estimated
86,Ge,32,85.946967,measured
86,As,33,85.93670153299999,measured
86,Se,34,85.924311733,measured
86,Br,35,85.918805433,measured
86,Kr,36,85.91061062627,measured
86,Rb,37,85.91116744299998,measured
86,Sr,38,85.90926072631,measured
86,Y,39,85.914886098,measured
86,Zr,40,85.916296815,measured
86,Nb,41,85.925781535,measured
86,Mo,42,85.931174817,measured
86,Tc,43,85.944637,estimated
86,Ru,44,85.957305,estimated
87,Ga,31,86.968599,estimated
87,Ge,32,86.95268,estimated
87,As,33,86.940291718,measured
87,Se,34,86.92868861799998,measured
87,Br,35,86.92067401799999,measured
87,Kr,36,86.913354759,measured
87,Rb,37,86.909180531,measured
87,Sr,38,86.90887749615,measured
87,Y,39,86.91087610200002,measured
87,Zr,40,86.914817339,measured
87,Nb,41,86.920692472,measured
87,Mo,42,86.928196201,measured
87,Tc,43,86.938067187,measured
87,Ru,44,86.951132,estimated
88,Ge,32,87.95691,estimated
88,As,33,87.94555,estimated
88,Se,34,87.93141749099999,measured
88,Br,35,87.924083291,measured
88,Kr,36,87.914447881,measured
88,Rb,37,87.911315591,measured
88,Sr,38,87.90561225561001,measured
88,Y,39,87.90950127600001,measured
88,Zr,40,87.91022070899999,measured
88,Nb,41,87.918224287,measured
88,Mo,42,87.921967781,measured
88,Tc,43,87.933782381,measured
88,Ru,44,87.941664,estimated
88,Rh,45,87.960429,estimated
89,Ge,32,88.96379,estimated
89,As,33,88.94976,estimated
89,Se,34,88.936669059,measured
89,Br,35,88.926704559,measured
89,Kr,36,88.91783545,measured
89,Rb,37,88.91227813700002,measured
89,Sr,38,88.907450808,measured
89,Y,39,88.905841205,measured
89,Zr,40,88.908882332,measured
89,Nb,41,88.91344527200002,measured
89,Mo,42,88.91946815,measured
89,Tc,43,88.92764865000001,measured
89,Ru,44,88.937455,estimated
89,Rh,45,88.950767,estimated
90,Ge,32,89.96863,estimated
90,As,33,89.95563,estimated
90,Se,34,89.940096,measured
90,Br,35,89.93129284999999,measured
90,Kr,36,89.91952793,measured
90,Rb,37,89.91479880299998,measured
90,Sr,38,89.907730885,measured
90,Y,39,89.9071448,measured
90,Zr,40,89.90469875799998,measured
90,Nb,41,89.91125920399999,measured
90,Mo,42,89.91393127200001,measured
90,Tc,43,89.924073921,measured
90,Ru,44,89.93034437899999,measured
90,Rh,45,89.944498,estimated
90,Pd,46,89.95737,estimated
91,As,33,90.96039,estimated
91,Se,34,90.9457,measured
91,Br,35,90.93439861799999,measured
91,Kr,36,90.92380631,measured
91,Rb,37,90.916537265,measured
91,Sr,38,90.91019595799999,measured
91,Y,39,90.907298066,measured
